window_size,direction,train_f,run_id,data_filter,lodg_opt,targ_var,Treat,job,comb,stat,make_run
3x3,0,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,1,3x3_0_alldata_biomass_obs_all,0,0
3x3,45,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,2,3x3_45_alldata_biomass_obs_all,0,0
3x3,90,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,3,3x3_90_alldata_biomass_obs_all,1,0
3x3,135,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,4,3x3_135_alldata_biomass_obs_all,1,0
5x5,0,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,5,5x5_0_alldata_biomass_obs_all,1,0
5x5,45,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,6,5x5_45_alldata_biomass_obs_all,0,0
5x5,90,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,7,5x5_90_alldata_biomass_obs_all,0,0
5x5,135,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,8,5x5_135_alldata_biomass_obs_all,0,0
7x7,0,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,9,7x7_0_alldata_biomass_obs_all,0,0
7x7,45,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,10,7x7_45_alldata_biomass_obs_all,0,0
7x7,90,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,11,7x7_90_alldata_biomass_obs_all,0,0
7x7,135,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,12,7x7_135_alldata_biomass_obs_all,0,0
15x15,0,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,13,15x15_0_alldata_biomass_obs_all,0,0
15x15,45,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,14,15x15_45_alldata_biomass_obs_all,0,0
15x15,90,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,15,15x15_90_alldata_biomass_obs_all,0,0
15x15,135,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,16,15x15_135_alldata_biomass_obs_all,0,0
3x3,0,0.7,alldata_N_species,alldata,2,N_species,all,17,3x3_0_alldata_N_species_all,0,1
3x3,45,0.7,alldata_N_species,alldata,2,N_species,all,18,3x3_45_alldata_N_species_all,0,1
3x3,90,0.7,alldata_N_species,alldata,2,N_species,all,19,3x3_90_alldata_N_species_all,0,1
3x3,135,0.7,alldata_N_species,alldata,2,N_species,all,20,3x3_135_alldata_N_species_all,0,1
5x5,0,0.7,alldata_N_species,alldata,2,N_species,all,21,5x5_0_alldata_N_species_all,0,1
5x5,45,0.7,alldata_N_species,alldata,2,N_species,all,22,5x5_45_alldata_N_species_all,0,1
5x5,90,0.7,alldata_N_species,alldata,2,N_species,all,23,5x5_90_alldata_N_species_all,0,1
5x5,135,0.7,alldata_N_species,alldata,2,N_species,all,24,5x5_135_alldata_N_species_all,0,1
7x7,0,0.7,alldata_N_species,alldata,2,N_species,all,25,7x7_0_alldata_N_species_all,0,1
7x7,45,0.7,alldata_N_species,alldata,2,N_species,all,26,7x7_45_alldata_N_species_all,0,1
7x7,90,0.7,alldata_N_species,alldata,2,N_species,all,27,7x7_90_alldata_N_species_all,0,1
7x7,135,0.7,alldata_N_species,alldata,2,N_species,all,28,7x7_135_alldata_N_species_all,0,1
15x15,0,0.7,alldata_N_species,alldata,2,N_species,all,29,15x15_0_alldata_N_species_all,0,1
15x15,45,0.7,alldata_N_species,alldata,2,N_species,all,30,15x15_45_alldata_N_species_all,0,1
15x15,90,0.7,alldata_N_species,alldata,2,N_species,all,31,15x15_90_alldata_N_species_all,0,1
15x15,135,0.7,alldata_N_species,alldata,2,N_species,all,32,15x15_135_alldata_N_species_all,0,1
3x3,0,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,33,3x3_0_lodging_biomass_obs_all,0,0
3x3,45,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,34,3x3_45_lodging_biomass_obs_all,0,0
3x3,90,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,35,3x3_90_lodging_biomass_obs_all,0,0
3x3,135,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,36,3x3_135_lodging_biomass_obs_all,0,0
5x5,0,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,37,5x5_0_lodging_biomass_obs_all,0,0
5x5,45,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,38,5x5_45_lodging_biomass_obs_all,0,0
5x5,90,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,39,5x5_90_lodging_biomass_obs_all,0,0
5x5,135,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,40,5x5_135_lodging_biomass_obs_all,0,0
7x7,0,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,41,7x7_0_lodging_biomass_obs_all,0,0
7x7,45,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,42,7x7_45_lodging_biomass_obs_all,0,0
7x7,90,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,43,7x7_90_lodging_biomass_obs_all,0,0
7x7,135,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,44,7x7_135_lodging_biomass_obs_all,0,0
15x15,0,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,45,15x15_0_lodging_biomass_obs_all,0,0
15x15,45,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,46,15x15_45_lodging_biomass_obs_all,0,0
15x15,90,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,47,15x15_90_lodging_biomass_obs_all,0,0
15x15,135,0.7,lodging_biomass_obs,lodging,1,biomass_obs,all,48,15x15_135_lodging_biomass_obs_all,0,0
3x3,0,0.7,lodging_N_species,lodging,1,N_species,all,49,3x3_0_lodging_N_species_all,1,0
3x3,45,0.7,lodging_N_species,lodging,1,N_species,all,50,3x3_45_lodging_N_species_all,1,0
3x3,90,0.7,lodging_N_species,lodging,1,N_species,all,51,3x3_90_lodging_N_species_all,1,0
3x3,135,0.7,lodging_N_species,lodging,1,N_species,all,52,3x3_135_lodging_N_species_all,1,0
5x5,0,0.7,lodging_N_species,lodging,1,N_species,all,53,5x5_0_lodging_N_species_all,1,0
5x5,45,0.7,lodging_N_species,lodging,1,N_species,all,54,5x5_45_lodging_N_species_all,1,0
5x5,90,0.7,lodging_N_species,lodging,1,N_species,all,55,5x5_90_lodging_N_species_all,1,0
5x5,135,0.7,lodging_N_species,lodging,1,N_species,all,56,5x5_135_lodging_N_species_all,1,0
7x7,0,0.7,lodging_N_species,lodging,1,N_species,all,57,7x7_0_lodging_N_species_all,1,0
7x7,45,0.7,lodging_N_species,lodging,1,N_species,all,58,7x7_45_lodging_N_species_all,1,0
7x7,90,0.7,lodging_N_species,lodging,1,N_species,all,59,7x7_90_lodging_N_species_all,1,0
7x7,135,0.7,lodging_N_species,lodging,1,N_species,all,60,7x7_135_lodging_N_species_all,1,0
15x15,0,0.7,lodging_N_species,lodging,1,N_species,all,61,15x15_0_lodging_N_species_all,1,0
15x15,45,0.7,lodging_N_species,lodging,1,N_species,all,62,15x15_45_lodging_N_species_all,1,0
15x15,90,0.7,lodging_N_species,lodging,1,N_species,all,63,15x15_90_lodging_N_species_all,1,0
15x15,135,0.7,lodging_N_species,lodging,1,N_species,all,64,15x15_135_lodging_N_species_all,1,0
3x3,0,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,65,3x3_0_nonlodging_biomass_obs_all,0,0
3x3,45,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,66,3x3_45_nonlodging_biomass_obs_all,0,0
3x3,90,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,67,3x3_90_nonlodging_biomass_obs_all,0,0
3x3,135,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,68,3x3_135_nonlodging_biomass_obs_all,0,0
5x5,0,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,69,5x5_0_nonlodging_biomass_obs_all,0,0
5x5,45,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,70,5x5_45_nonlodging_biomass_obs_all,0,0
5x5,90,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,71,5x5_90_nonlodging_biomass_obs_all,0,0
5x5,135,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,72,5x5_135_nonlodging_biomass_obs_all,0,0
7x7,0,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,73,7x7_0_nonlodging_biomass_obs_all,0,0
7x7,45,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,74,7x7_45_nonlodging_biomass_obs_all,0,0
7x7,90,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,75,7x7_90_nonlodging_biomass_obs_all,0,0
7x7,135,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,76,7x7_135_nonlodging_biomass_obs_all,0,0
15x15,0,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,77,15x15_0_nonlodging_biomass_obs_all,0,0
15x15,45,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,78,15x15_45_nonlodging_biomass_obs_all,0,0
15x15,90,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,79,15x15_90_nonlodging_biomass_obs_all,0,0
15x15,135,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,all,80,15x15_135_nonlodging_biomass_obs_all,0,0
3x3,0,0.7,nonlodging_N_species,nonlodging,0,N_species,all,81,3x3_0_nonlodging_N_species_all,1,0
3x3,45,0.7,nonlodging_N_species,nonlodging,0,N_species,all,82,3x3_45_nonlodging_N_species_all,1,0
3x3,90,0.7,nonlodging_N_species,nonlodging,0,N_species,all,83,3x3_90_nonlodging_N_species_all,1,0
3x3,135,0.7,nonlodging_N_species,nonlodging,0,N_species,all,84,3x3_135_nonlodging_N_species_all,1,0
5x5,0,0.7,nonlodging_N_species,nonlodging,0,N_species,all,85,5x5_0_nonlodging_N_species_all,1,0
5x5,45,0.7,nonlodging_N_species,nonlodging,0,N_species,all,86,5x5_45_nonlodging_N_species_all,1,0
5x5,90,0.7,nonlodging_N_species,nonlodging,0,N_species,all,87,5x5_90_nonlodging_N_species_all,1,0
5x5,135,0.7,nonlodging_N_species,nonlodging,0,N_species,all,88,5x5_135_nonlodging_N_species_all,1,0
7x7,0,0.7,nonlodging_N_species,nonlodging,0,N_species,all,89,7x7_0_nonlodging_N_species_all,1,0
7x7,45,0.7,nonlodging_N_species,nonlodging,0,N_species,all,90,7x7_45_nonlodging_N_species_all,1,0
7x7,90,0.7,nonlodging_N_species,nonlodging,0,N_species,all,91,7x7_90_nonlodging_N_species_all,1,0
7x7,135,0.7,nonlodging_N_species,nonlodging,0,N_species,all,92,7x7_135_nonlodging_N_species_all,1,0
15x15,0,0.7,nonlodging_N_species,nonlodging,0,N_species,all,93,15x15_0_nonlodging_N_species_all,1,0
15x15,45,0.7,nonlodging_N_species,nonlodging,0,N_species,all,94,15x15_45_nonlodging_N_species_all,1,0
15x15,90,0.7,nonlodging_N_species,nonlodging,0,N_species,all,95,15x15_90_nonlodging_N_species_all,1,0
15x15,135,0.7,nonlodging_N_species,nonlodging,0,N_species,all,96,15x15_135_nonlodging_N_species_all,1,0
3x3,0,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,97,3x3_0_alldata_biomass_obs_1,1,0
3x3,45,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,98,3x3_45_alldata_biomass_obs_1,1,0
3x3,90,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,99,3x3_90_alldata_biomass_obs_1,1,0
3x3,135,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,100,3x3_135_alldata_biomass_obs_1,1,0
5x5,0,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,101,5x5_0_alldata_biomass_obs_1,1,0
5x5,45,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,102,5x5_45_alldata_biomass_obs_1,1,0
5x5,90,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,103,5x5_90_alldata_biomass_obs_1,1,0
5x5,135,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,104,5x5_135_alldata_biomass_obs_1,1,0
7x7,0,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,105,7x7_0_alldata_biomass_obs_1,1,0
7x7,45,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,106,7x7_45_alldata_biomass_obs_1,1,0
7x7,90,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,107,7x7_90_alldata_biomass_obs_1,1,0
7x7,135,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,108,7x7_135_alldata_biomass_obs_1,1,0
15x15,0,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,109,15x15_0_alldata_biomass_obs_1,1,0
15x15,45,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,110,15x15_45_alldata_biomass_obs_1,1,0
15x15,90,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,111,15x15_90_alldata_biomass_obs_1,1,0
15x15,135,0.7,alldata_biomass_obs,alldata,2,biomass_obs,1,112,15x15_135_alldata_biomass_obs_1,1,0
3x3,0,0.7,alldata_N_species,alldata,2,N_species,1,113,3x3_0_alldata_N_species_1,1,1
3x3,45,0.7,alldata_N_species,alldata,2,N_species,1,114,3x3_45_alldata_N_species_1,1,1
3x3,90,0.7,alldata_N_species,alldata,2,N_species,1,115,3x3_90_alldata_N_species_1,1,1
3x3,135,0.7,alldata_N_species,alldata,2,N_species,1,116,3x3_135_alldata_N_species_1,1,1
5x5,0,0.7,alldata_N_species,alldata,2,N_species,1,117,5x5_0_alldata_N_species_1,1,1
5x5,45,0.7,alldata_N_species,alldata,2,N_species,1,118,5x5_45_alldata_N_species_1,1,1
5x5,90,0.7,alldata_N_species,alldata,2,N_species,1,119,5x5_90_alldata_N_species_1,1,1
5x5,135,0.7,alldata_N_species,alldata,2,N_species,1,120,5x5_135_alldata_N_species_1,1,1
7x7,0,0.7,alldata_N_species,alldata,2,N_species,1,121,7x7_0_alldata_N_species_1,1,1
7x7,45,0.7,alldata_N_species,alldata,2,N_species,1,122,7x7_45_alldata_N_species_1,1,1
7x7,90,0.7,alldata_N_species,alldata,2,N_species,1,123,7x7_90_alldata_N_species_1,1,1
7x7,135,0.7,alldata_N_species,alldata,2,N_species,1,124,7x7_135_alldata_N_species_1,1,1
15x15,0,0.7,alldata_N_species,alldata,2,N_species,1,125,15x15_0_alldata_N_species_1,1,1
15x15,45,0.7,alldata_N_species,alldata,2,N_species,1,126,15x15_45_alldata_N_species_1,1,1
15x15,90,0.7,alldata_N_species,alldata,2,N_species,1,127,15x15_90_alldata_N_species_1,1,1
15x15,135,0.7,alldata_N_species,alldata,2,N_species,1,128,15x15_135_alldata_N_species_1,1,1
3x3,0,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,129,3x3_0_lodging_biomass_obs_1,1,0
3x3,45,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,130,3x3_45_lodging_biomass_obs_1,1,0
3x3,90,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,131,3x3_90_lodging_biomass_obs_1,1,0
3x3,135,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,132,3x3_135_lodging_biomass_obs_1,1,0
5x5,0,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,133,5x5_0_lodging_biomass_obs_1,1,0
5x5,45,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,134,5x5_45_lodging_biomass_obs_1,1,0
5x5,90,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,135,5x5_90_lodging_biomass_obs_1,1,0
5x5,135,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,136,5x5_135_lodging_biomass_obs_1,1,0
7x7,0,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,137,7x7_0_lodging_biomass_obs_1,1,0
7x7,45,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,138,7x7_45_lodging_biomass_obs_1,1,0
7x7,90,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,139,7x7_90_lodging_biomass_obs_1,1,0
7x7,135,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,140,7x7_135_lodging_biomass_obs_1,1,0
15x15,0,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,141,15x15_0_lodging_biomass_obs_1,1,0
15x15,45,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,142,15x15_45_lodging_biomass_obs_1,1,0
15x15,90,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,143,15x15_90_lodging_biomass_obs_1,1,0
15x15,135,0.7,lodging_biomass_obs,lodging,1,biomass_obs,1,144,15x15_135_lodging_biomass_obs_1,1,0
3x3,0,0.7,lodging_N_species,lodging,1,N_species,1,145,3x3_0_lodging_N_species_1,1,0
3x3,45,0.7,lodging_N_species,lodging,1,N_species,1,146,3x3_45_lodging_N_species_1,1,0
3x3,90,0.7,lodging_N_species,lodging,1,N_species,1,147,3x3_90_lodging_N_species_1,1,0
3x3,135,0.7,lodging_N_species,lodging,1,N_species,1,148,3x3_135_lodging_N_species_1,1,0
5x5,0,0.7,lodging_N_species,lodging,1,N_species,1,149,5x5_0_lodging_N_species_1,1,0
5x5,45,0.7,lodging_N_species,lodging,1,N_species,1,150,5x5_45_lodging_N_species_1,1,0
5x5,90,0.7,lodging_N_species,lodging,1,N_species,1,151,5x5_90_lodging_N_species_1,1,0
5x5,135,0.7,lodging_N_species,lodging,1,N_species,1,152,5x5_135_lodging_N_species_1,1,0
7x7,0,0.7,lodging_N_species,lodging,1,N_species,1,153,7x7_0_lodging_N_species_1,1,0
7x7,45,0.7,lodging_N_species,lodging,1,N_species,1,154,7x7_45_lodging_N_species_1,1,0
7x7,90,0.7,lodging_N_species,lodging,1,N_species,1,155,7x7_90_lodging_N_species_1,1,0
7x7,135,0.7,lodging_N_species,lodging,1,N_species,1,156,7x7_135_lodging_N_species_1,1,0
15x15,0,0.7,lodging_N_species,lodging,1,N_species,1,157,15x15_0_lodging_N_species_1,1,0
15x15,45,0.7,lodging_N_species,lodging,1,N_species,1,158,15x15_45_lodging_N_species_1,1,0
15x15,90,0.7,lodging_N_species,lodging,1,N_species,1,159,15x15_90_lodging_N_species_1,1,0
15x15,135,0.7,lodging_N_species,lodging,1,N_species,1,160,15x15_135_lodging_N_species_1,1,0
3x3,0,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,161,3x3_0_nonlodging_biomass_obs_1,1,0
3x3,45,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,162,3x3_45_nonlodging_biomass_obs_1,1,0
3x3,90,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,163,3x3_90_nonlodging_biomass_obs_1,1,0
3x3,135,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,164,3x3_135_nonlodging_biomass_obs_1,1,0
5x5,0,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,165,5x5_0_nonlodging_biomass_obs_1,1,0
5x5,45,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,166,5x5_45_nonlodging_biomass_obs_1,1,0
5x5,90,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,167,5x5_90_nonlodging_biomass_obs_1,1,0
5x5,135,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,168,5x5_135_nonlodging_biomass_obs_1,1,0
7x7,0,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,169,7x7_0_nonlodging_biomass_obs_1,1,0
7x7,45,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,170,7x7_45_nonlodging_biomass_obs_1,1,0
7x7,90,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,171,7x7_90_nonlodging_biomass_obs_1,1,0
7x7,135,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,172,7x7_135_nonlodging_biomass_obs_1,1,0
15x15,0,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,173,15x15_0_nonlodging_biomass_obs_1,1,0
15x15,45,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,174,15x15_45_nonlodging_biomass_obs_1,1,0
15x15,90,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,175,15x15_90_nonlodging_biomass_obs_1,1,0
15x15,135,0.7,nonlodging_biomass_obs,nonlodging,0,biomass_obs,1,176,15x15_135_nonlodging_biomass_obs_1,1,0
3x3,0,0.7,nonlodging_N_species,nonlodging,0,N_species,1,177,3x3_0_nonlodging_N_species_1,1,0
3x3,45,0.7,nonlodging_N_species,nonlodging,0,N_species,1,178,3x3_45_nonlodging_N_species_1,1,0
3x3,90,0.7,nonlodging_N_species,nonlodging,0,N_species,1,179,3x3_90_nonlodging_N_species_1,1,0
3x3,135,0.7,nonlodging_N_species,nonlodging,0,N_species,1,180,3x3_135_nonlodging_N_species_1,1,0
5x5,0,0.7,nonlodging_N_species,nonlodging,0,N_species,1,181,5x5_0_nonlodging_N_species_1,1,0
5x5,45,0.7,nonlodging_N_species,nonlodging,0,N_species,1,182,5x5_45_nonlodging_N_species_1,1,0
5x5,90,0.7,nonlodging_N_species,nonlodging,0,N_species,1,183,5x5_90_nonlodging_N_species_1,1,0
5x5,135,0.7,nonlodging_N_species,nonlodging,0,N_species,1,184,5x5_135_nonlodging_N_species_1,1,0
7x7,0,0.7,nonlodging_N_species,nonlodging,0,N_species,1,185,7x7_0_nonlodging_N_species_1,1,0
7x7,45,0.7,nonlodging_N_species,nonlodging,0,N_species,1,186,7x7_45_nonlodging_N_species_1,1,0
7x7,90,0.7,nonlodging_N_species,nonlodging,0,N_species,1,187,7x7_90_nonlodging_N_species_1,1,0
7x7,135,0.7,nonlodging_N_species,nonlodging,0,N_species,1,188,7x7_135_nonlodging_N_species_1,1,0
15x15,0,0.7,nonlodging_N_species,nonlodging,0,N_species,1,189,15x15_0_nonlodging_N_species_1,1,0
15x15,45,0.7,nonlodging_N_species,nonlodging,0,N_species,1,190,15x15_45_nonlodging_N_species_1,1,0
